 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Art of Doing Nothing,,,,120'-50' (6000 sq. ft.),120,50,Work Support Camp,MF NP MZ , , , ,, , , ,Bar,ADA, , , ,10,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,,3rd Choice,,,, ,No, ,No,ADA,Yes, , ,No, ,,,Bar,Yes, ,, ,No, ,,120'-50' (6000 sq. ft.),120',50' (6000 sq. ft.),120,50, (6000 sq. ft.),6000,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,2,,3,,,,MF ,NP ,MZ ,MF NP MZ 
Coast Guard,,,,(45'-100' sq ft.),45,100,Work Support Camp,RS NP MZ , , , ,, , ,Kids, , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,2nd Choice,1st Choice,3rd Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,, ,No, ,,(45'-100' sq ft.),(45',100' sq ft.),45,100, sq ft.),4500,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,,2,1,3,,,,RS ,NP ,MZ ,RS NP MZ 
Chameleon Camp,,,,40'x80' (3200 sq. ft.),40,80,MorningAfternoon,FE NP MF , , ,Medium,Food, , ,Kids+,Bar, , ,UnEvEn,Trees,3,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!",Bar,Yes, ,No, ,No, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 1,1,SZ 1,Food,,,Medium,"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)",1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,4,4,0,0,0,8,Theme Camp,Morning,Afternoon,,,,50.00%,50.00%,0.00%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,1,3,2,,,,,,FE ,NP ,MF ,FE NP MF 
Ranger Meadow Camp,,,,50'x60' (3000 sq. ft.),50,60,Work Support Camp,MD FE NP , , , ,, , , , , , ,UnEvEn,Trees,5,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,2nd Choice,,3rd Choice,,,,,1st Choice,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,2,,3,,,,,1,MD ,FE ,NP ,MD FE NP 
Synthesthesia,,,,40'x60' (2400 sq. ft.),40,60,,LB MZ UB , , ,Medium,, , , , , , ,UnEvEn,Trees,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,2nd Choice,1st Choice,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 3,3,SZ 3,,,,Medium,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1,1,0,3,3,4,4,14,Theme Camp,,,,,,0.00%,21.43%,21.43%,28.57%,28.57%,,,,,,,2,1,3,,LB ,MZ ,UB ,LB MZ UB 
DSF,,,,100'x50' (5000 sq. ft.),100,50,AfternoonLate Afternoon,MF UB RS ,Tea, , ,Food+, , , ,Bar, , ,UnEvEn, ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,3rd Choice,,,2nd Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,Food+,,yes,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,4,4,0,0,8,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,1,,3,,,2,,MF ,UB ,RS ,MF UB RS 
Merfolx,,,,20'x60' (1200 sq. ft.),20,60,AfternoonEvening,RS NP MF , , , ,, , , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,2nd Choice,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",Afternoon (noon-4pm), , , ,1, , ,1,1,1, , ,1,1,1, , ,1, , , ,0,3,2,3,0,8,Theme Camp,,Afternoon,,Evening,,0.00%,37.50%,25.00%,37.50%,0.00%,AfternoonEvening,AfternoonEvening,,3,2,1,,,,,RS ,NP ,MF ,RS NP MF 
Temple Support Camp,,,,60'x60' (3600 sq. ft.),60,60,Art Support Camp,UB LB , , , ,,Fire, , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,,Fire,Yes, ,,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,,,,,,2,1,,UB ,LB ,,UB LB 
Camp YNOT ,,,,20'x60' (1200 sq. ft.),20,60,,MF MZ LB , , , ,, , , ,Bar, , ,UnEvEn,Trees,2,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,3rd Choice,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 3,3,SZ 3,,,,No,None,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",None,None, , , , , , ,1,1,1, , , , , , , , , , , ,0,1,1,1,0,3,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,,1,,,2,3,,,MF ,MZ ,LB ,MF MZ LB 
The Adventurer's Respite,,,,50'x60' (3000 sq. ft.),50,60,AfternoonEvening,FE NP ,Tea, , ,, , ,Kids+, , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 1,1,SZ 1,,,yes,No,"Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)", ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,0,4,0,4,0,8,Theme Camp,,Afternoon,,Evening,,0.00%,50.00%,0.00%,50.00%,0.00%,AfternoonEvening,AfternoonEvening,1,,2,,,,,,FE ,NP ,,FE NP 
Hypnodrome,,,,40'x60' (2400 sq. ft.),40,60,Evening,NP MF UB , , ,Medium,, , , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,1st Choice,,,,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,,,Medium,Evening (8pm-Midnight),Evening (8pm-Midnight),Evening (8pm-Midnight),Evening (8pm-Midnight), , , ,1, , , , ,1, , , , ,1, , , , ,1, ,0,0,0,4,0,4,Theme Camp,,,,Evening,,0.00%,0.00%,0.00%,100.00%,0.00%,Evening,Evening,,2,1,,,,3,,NP ,MF ,UB ,NP MF UB 
OverFuckinRated,,,,"60 x 110 (6,600 sq ft)",60,110,,MF MZ UB , , ,Medium,Food,Fire, , ,Bar,ADA, , , ,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,,3rd Choice,, ,No, ,No,ADA,Yes, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,"60 x 110 (6,600 sq ft)",60," 110 (6,600 sq ft)",60,110,,6600,Zone 2,2,SZ 2,Food,,,Medium,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,3,4,4,4,3,18,Theme Camp,,,,,,16.67%,22.22%,22.22%,22.22%,16.67%,,,,1,,,2,,3,,MF ,MZ ,UB ,MF MZ UB 
Bobablivion,,,,50'x60' (3000 sq. ft.),50,60,Afternoon,MF UB ,Tea, , ,, , ,Kids, , , ,UnEvEn,Trees,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,,,yes,No,Afternoon (noon-4pm),"Afternoon (noon-4pm), Late Night (Midnight-Sunrise)",Afternoon (noon-4pm),Afternoon (noon-4pm), ,1, , , , ,1, , ,1, ,1, , , , ,1, , , ,0,4,0,0,1,5,Theme Camp,,Afternoon,,,,0.00%,80.00%,0.00%,0.00%,20.00%,Afternoon,Afternoon,,1,,,,,2,,MF ,UB ,,MF UB 
Oregon Snail Trail,,,,40'x80' (3200 sq. ft.),40,80,Late AfternoonEvening,MF UB , , , ,,Fire, , ,Bar, , , ,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,,2nd Choice,, ,No,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1, , , ,1,1, , , ,1,1, , , ,1,1, ,0,0,3,4,0,7,Theme Camp,,,Late Afternoon,Evening,,0.00%,0.00%,42.86%,57.14%,0.00%,Late AfternoonEvening,Late AfternoonEvening,,1,,,,,2,,MF ,UB ,,MF UB 
Plunderground,,,,100'x50' (5000 sq. ft.),100,50,Evening,MF MZ UB , , , ,,Fire, ,Kids, , , , , ,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,,3rd Choice,, ,No, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No,Fire,Yes, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,,,,No,None,Evening (8pm-Midnight),Evening (8pm-Midnight),Evening (8pm-Midnight), , , , , , , , ,1, , , , ,1, , , , ,1, ,0,0,0,3,0,3,Theme Camp,,,,Evening,,0.00%,0.00%,0.00%,100.00%,0.00%,Evening,Evening,,1,,,2,,3,,MF ,MZ ,UB ,MF MZ UB 
UnityHaven,,,,30'x30' (900 sq. ft.),30,30,,MF NP MZ , , , ,, , ,Kids,Bar,ADA, , , ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,,3rd Choice,,,, ,No, ,No,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,1,2,,3,,,,MF ,NP ,MZ ,MF NP MZ 
CRORE,,,,30'x50' (1500 sq. ft.),30,50,,MZ UB MF , , , ,Food+, , , ,Bar, , ,UnEvEn, ,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,3rd Choice,,,1st Choice,,2nd Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 3,3,SZ 3,Food+,,,No,"Afternoon (noon-4pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", ,1, ,1,1, ,1, ,1,1, ,1, ,1,1, ,1, ,1,1,0,4,0,4,4,12,Theme Camp,,,,,,0.00%,33.33%,0.00%,33.33%,33.33%,,,,3,,,1,,2,,MZ ,UB ,MF ,MZ UB MF 
Cosmic Chai,,,,100'x50' (5000 sq. ft.),100,50,Late AfternoonEvening,UB LB MZ ,Tea, , ,, , , , , , , , ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,3rd Choice,2nd Choice,1st Choice,, ,No, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,,,yes,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)", , ,1,1, , , ,1,1, , , ,1,1, , ,1, ,1, ,0,1,3,4,0,8,Theme Camp,,,Late Afternoon,Evening,,0.00%,12.50%,37.50%,50.00%,0.00%,Late AfternoonEvening,Late AfternoonEvening,,,,,3,2,1,,UB ,LB ,MZ ,UB LB MZ 
Fire Camp ,,,,100'x50' (5000 sq. ft.),100,50,,MF MZ LB , , , ,,Fire,FireCircle, , , , , ,Trees,2,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,3rd Choice,,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes,FireCircle,Yes,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 3,3,SZ 3,,,,Big,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1,1, ,1,1,1,1, ,1,1,1, ,0,4,4,4,2,14,Theme Camp,,,,,,0.00%,28.57%,28.57%,28.57%,14.29%,,,,1,,,2,3,,,MF ,MZ ,LB ,MF MZ LB 
Cheeky Chargers,,,,40'x40' (1600 sq. ft.),40,40,AfternoonLate Afternoon,MZ MF LB , , , ,, , , , , , ,UnEvEn, ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,3rd Choice,,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,4,4,0,0,8,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,2,,,1,3,,,MZ ,MF ,LB ,MZ MF LB 
The Garden of Otherworldly Delights ,,,,40'x40' (1600 sq. ft.),40,40,AfternoonLate Afternoon,FE NP MF , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 1,1,SZ 1,,,,No,None,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , , , , , ,1,1, , , ,1,1, , , ,1,1, , ,0,3,3,0,0,6,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,1,3,2,,,,,,FE ,NP ,MF ,FE NP MF 
Octopussy's Tea House,,,,60'x60' (3600 sq. ft.),60,60,,MZ MF UB ,Tea, ,Medium,Food,Fire, , , , ,XXX,UnEvEn, ,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,,3rd Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No,XXX,Yes,Fire,Yes, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 3,3,SZ 3,Food,,yes,Medium,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm)", ,1,1,1, ,1,1,1,1,1, ,1,1, ,1,1,1, , , ,2,4,3,2,2,13,Theme Camp,,,,,,15.38%,30.77%,23.08%,15.38%,15.38%,,,,2,,,1,,3,,MZ ,MF ,UB ,MZ MF UB 
BUCKETS,,,,60'x60' (3600 sq. ft.),60,60,Late Afternoon,UB MF RS ,Tea, ,Medium,, , , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,3rd Choice,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,yes,Medium,Late Afternoon (4pm-8pm),Late Night (Midnight-Sunrise),Late Afternoon (4pm-8pm),Afternoon (noon-4pm), , ,1, , , , , , ,1, , ,1, , , ,1, , , ,0,1,2,0,1,4,Theme Camp,,,Late Afternoon,,,0.00%,25.00%,50.00%,0.00%,25.00%,Late Afternoon,Late Afternoon,,2,,3,,,1,,UB ,MF ,RS ,UB MF RS 
Camp Clusterfuck,,,,100 x 120 (12000 sq. ft),100,120,,MZ MF , , , ,Food,Fire, ,Kids,Bar, , , ,Trees,7,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,,,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,100 x 120 (12000 sq. ft),100, 120 (12000 sq. ft),100,120,,12000,Zone 3,3,SZ 3,Food,,,Big,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1,1, ,0,3,3,4,3,13,Theme Camp,,,,,,0.00%,23.08%,23.08%,30.77%,23.08%,,,,2,,,1,,,,MZ ,MF ,,MZ MF 
Hedgehog Hegemony,,,,20'x60' (1200 sq. ft.),20,60,Late Afternoon,RS MD MF , , , ,, , ,Kids,Bar, , , ,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,1st Choice,,,,2nd Choice, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,,,No,Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm), , ,1, , , , ,1, , , , ,1, , , , ,1, , ,0,0,4,0,0,4,Theme Camp,,,Late Afternoon,,,0.00%,0.00%,100.00%,0.00%,0.00%,Late Afternoon,Late Afternoon,,3,,1,,,,2,RS ,MD ,MF ,RS MD MF 
